"NoCom","CodeCli","NoEmp","DateCom","ALivAvant","DateEnv","NoMess","Port","Destinataire","AdrLiv","VilleLiv","RegionLiv","CodepostalLiv","PaysLiv"
"10606","TRADH","4","2015-08-22","2015-09-19","2015-08-31","1","397","Tradição Hipermercados","Av. Inês de Castro, 414","São Paulo","SP","05634-030","Brésil"
"10607","SAVEA","5","2015-08-22","2015-09-19","2015-08-25","1","1001","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10608","TOMSP","4","2015-08-23","2015-09-20","2015-09-01","2","139","Toms Spezialitäten","Luisenstr. 48","Münster","","44087","Allemagne"
"10609","DUMON","7","2015-08-24","2015-09-21","2015-08-30","2","9","Du monde entier","67, rue des Cinquante Otages","Nantes","","44000","France"
"10610","LAMAI","8","2015-08-25","2015-09-22","2015-09-06","1","134","La maison dAsie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"10611","WOLZA","6","2015-08-25","2015-09-22","2015-09-01","2","403","Wolski Zajazd","ul. Filtrowa 68","Warszawa","","01-012","Pologne"
"10612","SAVEA","1","2015-08-28","2015-09-25","2015-09-01","2","2720","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10613","HILAA","4","2015-08-29","2015-09-26","2015-09-01","2","41","HILARIÓN-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"10614","BLAUS","8","2015-08-29","2015-09-26","2015-09-01","1","10","Blauer See Delikatessen","Forsterstr. 57","Mannheim","","68306","Allemagne"
"10615","WILMK","2","2015-08-30","2015-09-27","2015-09-06","1","4","Wilman Kala","Keskuskatu 45","Helsinki","","21240","Finlande"
"10616","GREAL","1","2015-08-31","2015-09-28","2015-09-05","2","583","Great Lakes Food Market","2732 Baker Blvd.","Eugene","OR","97403","Etats-Unis"
"10617","GREAL","4","2015-08-31","2015-09-28","2015-09-04","2","93","Great Lakes Food Market","2732 Baker Blvd.","Eugene","OR","97403","Etats-Unis"
"10618","MEREP","1","2015-09-01","2015-10-13","2015-09-08","1","773","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"10619","MEREP","3","2015-09-04","2015-10-02","2015-09-07","1","455","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"10620","LAUGB","2","2015-09-05","2015-10-03","2015-09-14","1","5","Laughing Bacchus Wine Cellars","2319 Elm St.","Vancouver","BC","V3F 2K1","Canada"
"10621","ISLAT","4","2015-09-05","2015-10-03","2015-09-11","2","119","Island Trading","Garden House  Crowther Way","Cowes","Isle of Wigth","PO31 7PJ","Royaume-Uni"
"10622","RICAR","4","2015-09-06","2015-10-04","2015-09-11","1","255","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brésil"
"10623","FRANK","8","2015-09-07","2015-10-05","2015-09-12","2","486","Frankenversand","Berliner Platz 43","München","","80805","Allemagne"
"10624","THECR","4","2015-09-07","2015-10-05","2015-09-19","2","474","The Cracker Box","55 Grizzly Peak Rd.","Butte","MT","59801","Etats-Unis"
"10625","ANATR","3","2015-09-08","2015-10-06","2015-09-14","1","220","Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.","","5021","Mexique"
"10626","BERGS","1","2015-09-11","2015-10-09","2015-09-20","2","693","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Suède"
"10627","SAVEA","8","2015-09-11","2015-10-23","2015-09-21","1","537","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10628","BLONP","4","2015-09-12","2015-10-10","2015-09-20","1","152","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"10629","GODOS","4","2015-09-12","2015-10-10","2015-09-20","1","427","Godos Cocina Típica","C/ Romero, 33","Sevilla","","41101","Espagne"
"10630","KOENE","1","2015-09-13","2015-10-11","2015-09-19","2","162","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Allemagne"
"10631","LAMAI","8","2015-09-14","2015-10-12","2015-09-15","1","4","La maison dAsie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"10632","WANDK","8","2015-09-14","2015-10-12","2015-09-19","1","207","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Allemagne"
"10633","ERNSH","7","2015-09-15","2015-10-13","2015-09-18","1","2390","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10634","FOLIG","4","2015-09-15","2015-10-13","2015-09-21","1","2437","Folies gourmandes","184, chaussée de Tournai","Lille","","59000","France"
"10635","MAGAA","8","2015-09-18","2015-10-16","2015-09-21","1","237","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","","24100","Italie"
"10636","WARTH","4","2015-09-19","2015-10-17","2015-09-26","1","6","Wartian Herkku","Torikatu 38","Oulu","","90110","Finlande"
"10637","QUEEN","6","2015-09-19","2015-10-17","2015-09-26","1","1006","Queen Cozinha","Alameda dos Canàrios, 891","São Paulo","SP","05487-020","Brésil"
"10638","LINOD","3","2015-09-20","2015-10-18","2015-10-02","1","792","LINO-Delicateses","Ave. 5 de Mayo Porlamar","I. de Margarita","Nueva Esparta","4980","Venezuela"
"10639","SANTG","7","2015-09-20","2015-10-18","2015-09-27","1","193","Santé Gourmet","Erling Skakkes gate 78","Stavern","","4110","Norvège"
"10640","WANDK","4","2015-09-21","2015-10-19","2015-09-28","1","118","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Allemagne"
"10641","HILAA","4","2015-09-22","2015-10-20","2015-09-26","2","898","HILARIÓN-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"10642","SIMOB","7","2015-09-22","2015-10-20","2015-10-06","1","209","Simons bistro","Vinbæltet 34","København","","1734","Danemark"
"10643","AROUT","6","2015-09-25","2015-10-23","2015-10-03","1","147","Around the Horn","120 Hanover Sq.","London","","WA1 1DP","Royaume-Uni"
"10644","WELLI","3","2015-09-25","2015-10-23","2015-10-02","2","1","Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brésil"
"10645","HANAR","4","2015-09-26","2015-10-24","2015-10-03","1","62","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brésil"
"10646","HUNGO","9","2015-09-27","2015-11-08","2015-10-04","1","712","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Irlande"
"10647","QUEDE","4","2015-09-27","2015-10-11","2015-10-04","2","228","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brésil"
"10648","RICAR","5","2015-09-28","2015-11-09","2015-10-10","2","71","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brésil"
"10649","MAISD","5","2015-09-28","2015-10-26","2015-09-29","1","31","Maison Dewey","Rue Joseph-Bens 532","Bruxelles","","B-1180","Belgique"
"10650","FAMIA","5","2015-09-29","2015-10-27","2015-10-04","1","884","Familia Arquibaldo","Rua Orós, 92","São Paulo","SP","05442-030","Brésil"
"10651","WANDK","8","2015-10-02","2015-10-30","2015-10-12","2","103","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Allemagne"
"10652","GOURL","4","2015-10-02","2015-10-30","2015-10-09","2","36","Gourmet Lanchonetes","Av. Brasil, 442","Campinas","SP","04876-786","Brésil"
"10653","FRANK","1","2015-10-03","2015-10-31","2015-10-20","1","466","Frankenversand","Berliner Platz 43","München","","80805","Allemagne"
"10654","BERGS","5","2015-10-03","2015-10-31","2015-10-12","1","276","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Suède"
"10655","REGGC","1","2015-10-04","2015-11-01","2015-10-12","2","22","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","","42100","Italie"
"10656","GREAL","6","2015-10-05","2015-11-02","2015-10-11","1","286","Great Lakes Food Market","2732 Baker Blvd.","Eugene","OR","97403","Etats-Unis"
"10657","SAVEA","2","2015-10-05","2015-11-02","2015-10-16","2","1763","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10658","QUICK","4","2015-10-06","2015-11-03","2015-10-09","1","1821","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10659","QUEEN","7","2015-10-06","2015-11-03","2015-10-11","2","529","Queen Cozinha","Alameda dos Canàrios, 891","São Paulo","SP","05487-020","Brésil"
"10660","HUNGC","8","2015-10-09","2015-11-06","2015-11-15","1","556","Hungry Coyote Import Store","City Center Plaza  516 Main St.","Elgin","OR","97827","Etats-Unis"
"10661","HUNGO","7","2015-10-10","2015-11-07","2015-10-16","1","88","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Irlande"
"10662","LONEP","3","2015-10-10","2015-11-07","2015-10-19","2","6","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","Etats-Unis"
"10663","BONAP","2","2015-10-11","2015-10-25","2015-11-03","2","566","Bon app","12, rue des Bouchers","Marseille","","13008","France"
"10664","FURIB","1","2015-10-11","2015-11-08","2015-10-20","1","6","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Lisboa","","1675","Portugal"
"10665","LONEP","1","2015-10-12","2015-11-09","2015-10-18","2","132","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","Etats-Unis"
"10666","RICSU","7","2015-10-13","2015-11-10","2015-10-23","2","1162","Richter Supermarkt","Starenweg 5","Genève","","1204","Suisse"
"10667","ERNSH","7","2015-10-13","2015-11-10","2015-10-20","1","390","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10668","WANDK","1","2015-10-16","2015-11-13","2015-10-24","2","236","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Allemagne"
"10669","SIMOB","2","2015-10-16","2015-11-13","2015-10-23","1","122","Simons bistro","Vinbæltet 34","København","","1734","Danemark"
"10670","FRANK","4","2015-10-17","2015-11-14","2015-10-19","1","1017","Frankenversand","Berliner Platz 43","München","","80805","Allemagne"
"10671","FRANR","1","2015-10-18","2015-11-15","2015-10-25","1","152","France restauration","54, rue Royale","Nantes","","44000","France"
"10672","BERGS","9","2015-10-18","2015-11-01","2015-10-27","2","479","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Suède"
"10673","WILMK","2","2015-10-19","2015-11-16","2015-10-20","1","114","Wilman Kala","Keskuskatu 45","Helsinki","","21240","Finlande"
"10674","ISLAT","4","2015-10-19","2015-11-16","2015-10-31","2","4","Island Trading","Garden House  Crowther Way","Cowes","Isle of Wigth","PO31 7PJ","Royaume-Uni"
"10675","FRANK","5","2015-10-20","2015-11-17","2015-10-24","2","159","Frankenversand","Berliner Platz 43","München","","80805","Allemagne"
"10676","TORTU","2","2015-10-23","2015-11-20","2015-10-30","2","10","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","5033","Mexique"
"10677","ANTON","1","2015-10-23","2015-11-20","2015-10-27","1","20","Antonio Moreno Taquería","Mataderos  2312","México D.F.","","5023","Mexique"
"10678","SAVEA","7","2015-10-24","2015-11-21","2015-11-16","1","1945","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10679","BLONP","8","2015-10-24","2015-11-21","2015-10-31","1","140","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"10680","OLDWO","1","2015-10-25","2015-11-22","2015-10-27","1","133","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","Etats-Unis"
"10681","GREAL","3","2015-10-26","2015-11-23","2015-10-31","1","381","Great Lakes Food Market","2732 Baker Blvd.","Eugene","OR","97403","Etats-Unis"
"10682","ANTON","3","2015-10-26","2015-11-23","2015-11-01","2","181","Antonio Moreno Taquería","Mataderos  2312","México D.F.","","5023","Mexique"
"10683","DUMON","2","2015-10-27","2015-11-24","2015-11-01","1","22","Du monde entier","67, rue des Cinquante Otages","Nantes","","44000","France"
"10684","OTTIK","3","2015-10-27","2015-11-24","2015-10-31","1","728","Ottilies Käseladen","Mehrheimerstr. 369","Köln","","50739","Allemagne"
"10685","GOURL","4","2015-10-30","2015-11-13","2015-11-03","2","169","Gourmet Lanchonetes","Av. Brasil, 442","Campinas","SP","04876-786","Brésil"
"10686","PICCO","2","2015-10-31","2015-11-28","2015-11-08","1","482","Piccolo und mehr","Geislweg 14","Salzburg","","5020","Autriche"
"10687","HUNGO","9","2015-10-31","2015-11-28","2015-11-30","2","1482","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Irlande"
"10688","VAFFE","4","2015-11-01","2015-11-15","2015-11-07","2","1495","Vaffeljernet","Smagsløget 45","Århus","","8200","Danemark"
"10689","BERGS","1","2015-11-01","2015-11-29","2015-11-07","2","67","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Suède"
"10690","HANAR","1","2015-11-02","2015-11-30","2015-11-03","1","79","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brésil"
"10691","QUICK","2","2015-11-03","2015-12-15","2015-11-22","2","4050","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10692","BSBEV","4","2015-11-03","2015-12-01","2015-11-13","2","305","Bs Beverages","Fauntleroy Circus","London","","EC2 5NT","Royaume-Uni"
"10693","WHITC","3","2015-11-06","2015-11-20","2015-11-10","1","697","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","Etats-Unis"
"10694","QUICK","8","2015-11-06","2015-12-04","2015-11-09","1","1992","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10695","WILMK","7","2015-11-07","2015-12-19","2015-11-14","1","84","Wilman Kala","Keskuskatu 45","Helsinki","","21240","Finlande"
"10696","WHITC","8","2015-11-08","2015-12-20","2015-11-14","1","513","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","Etats-Unis"
"10697","LINOD","3","2015-11-08","2015-12-06","2015-11-14","1","228","LINO-Delicateses","Ave. 5 de Mayo Porlamar","I. de Margarita","Nueva Esparta","4980","Venezuela"
"10698","ERNSH","4","2015-11-09","2015-12-07","2015-11-17","1","1362","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10699","MORGK","3","2015-11-09","2015-12-07","2015-11-13","1","3","Morgenstern Gesundkost","Heerstr. 22","Leipzig","","4179","Allemagne"
"10700","SAVEA","3","2015-11-10","2015-12-08","2015-11-16","1","326","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10701","HUNGO","6","2015-11-13","2015-11-27","2015-11-15","1","1102","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Irlande"
"10702","ANATR","4","2015-11-13","2015-12-25","2015-11-21","1","120","Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.","","5021","Mexique"
"10703","FOLKO","6","2015-11-14","2015-12-12","2015-11-20","2","762","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Suède"
"10704","QUEEN","6","2015-11-14","2015-12-12","2015-12-08","1","24","Queen Cozinha","Alameda dos Canàrios, 891","São Paulo","SP","05487-020","Brésil"
"10705","HILAA","9","2015-11-15","2015-12-13","2015-12-19","2","18","HILARIÓN-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"10706","OLDWO","8","2015-11-16","2015-12-14","2015-11-21","1","678","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","Etats-Unis"
"10707","AROUT","4","2015-11-16","2015-11-30","2015-11-23","1","109","Around the Horn","Brook Farm  Stratford St. Mary","Colchester","Essex","CO7 6JX","Royaume-Uni"
"10708","THEBI","6","2015-11-17","2015-12-29","2015-12-06","2","15","The Big Cheese","89 Jefferson Way  Suite 2","Portland","OR","97201","Etats-Unis"
"10709","GOURL","1","2015-11-17","2015-12-15","2015-12-21","1","1054","Gourmet Lanchonetes","Av. Brasil, 442","Campinas","SP","04876-786","Brésil"
"10710","FRANS","1","2015-11-20","2015-12-18","2015-11-23","1","25","Franchi S.p.A.","Via Monte Bianco 34","Torino","","10100","Italie"
"10711","SAVEA","5","2015-11-21","2016-01-02","2015-11-29","2","262","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10712","HUNGO","3","2015-11-21","2015-12-19","2015-12-01","1","450","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Irlande"
"10713","SAVEA","1","2015-11-22","2015-12-20","2015-11-24","1","835","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10714","SAVEA","5","2015-11-22","2015-12-20","2015-11-27","1","122","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10715","BONAP","3","2015-11-23","2015-12-07","2015-11-29","1","316","Bon app","12, rue des Bouchers","Marseille","","13008","France"
"10716","RANCH","4","2015-11-24","2015-12-22","2015-11-27","2","113","Rancho grande","Av. del Libertador 900","Buenos Aires","","1010","Argentine"
"10717","FRANK","1","2015-11-24","2015-12-22","2015-11-29","2","296","Frankenversand","Berliner Platz 43","München","","80805","Allemagne"
"10718","KOENE","1","2015-11-27","2015-12-25","2015-11-29","1","854","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Allemagne"
"10719","LETSS","8","2015-11-27","2015-12-25","2015-12-06","2","257","Lets Stop N Shop","87 Polk St.  Suite 5","San Francisco","CA","94117","Etats-Unis"
"10720","QUEDE","8","2015-11-28","2015-12-12","2015-12-06","2","48","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brésil"
"10721","QUICK","5","2015-11-29","2015-12-27","2015-12-01","1","245","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10722","SAVEA","8","2015-11-29","2016-01-10","2015-12-05","1","373","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10723","WHITC","3","2015-11-30","2015-12-28","2015-12-26","1","109","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","Etats-Unis"
"10724","MEREP","8","2015-11-30","2016-01-11","2015-12-06","2","289","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"10725","FAMIA","4","2015-12-01","2015-12-29","2015-12-06","1","54","Familia Arquibaldo","Rua Orós, 92","São Paulo","SP","05442-030","Brésil"
"10726","EASTC","4","2015-12-04","2015-12-18","2016-01-05","1","83","Eastern Connection","35 King George","London","","WX3 6FW","Royaume-Uni"
"10727","REGGC","2","2015-12-04","2016-01-01","2016-01-05","1","450","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","","42100","Italie"
"10728","QUEEN","4","2015-12-05","2016-01-02","2015-12-12","2","292","Queen Cozinha","Alameda dos Canàrios, 891","São Paulo","SP","05487-020","Brésil"
"10729","LINOD","8","2015-12-05","2016-01-16","2015-12-15","1","705","LINO-Delicateses","Ave. 5 de Mayo Porlamar","I. de Margarita","Nueva Esparta","4980","Venezuela"
"10730","BONAP","5","2015-12-06","2016-01-03","2015-12-15","1","101","Bon app","12, rue des Bouchers","Marseille","","13008","France"
"10731","CHOPS","7","2015-12-07","2016-01-04","2015-12-15","1","483","Chop-suey Chinese","Hauptstr. 31","Bern","","3012","Suisse"
"10732","BONAP","3","2015-12-07","2016-01-04","2015-12-08","1","85","Bon app","12, rue des Bouchers","Marseille","","13008","France"
"10733","BERGS","1","2015-12-08","2016-01-05","2015-12-11","1","551","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Suède"
"10734","GOURL","2","2015-12-08","2016-01-05","2015-12-13","1","8","Gourmet Lanchonetes","Av. Brasil, 442","Campinas","SP","04876-786","Brésil"
"10735","LETSS","6","2015-12-11","2016-01-08","2015-12-22","2","230","Lets Stop N Shop","87 Polk St.  Suite 5","San Francisco","CA","94117","Etats-Unis"
"10736","HUNGO","9","2015-12-12","2016-01-09","2015-12-22","2","220","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Irlande"
"10737","VINET","2","2015-12-12","2016-01-09","2015-12-19","2","39","Vins et alcools Chevalier","59 rue de lAbbaye","Reims","","51100","France"
"10738","SPECD","2","2015-12-13","2016-01-10","2015-12-19","1","15","Spécialités du monde","25, rue Lauriston","Paris","","75016","France"
"10739","VINET","3","2015-12-13","2016-01-10","2015-12-18","1","55","Vins et alcools Chevalier","59 rue de lAbbaye","Reims","","51100","France"
"10740","WHITC","4","2015-12-14","2016-01-11","2015-12-26","2","409","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","Etats-Unis"
"10741","AROUT","4","2015-12-15","2015-12-29","2015-12-19","1","55","Around the Horn","Brook Farm  Stratford St. Mary","Colchester","Essex","CO7 6JX","Royaume-Uni"
"10742","BOTTM","3","2015-12-15","2016-01-12","2015-12-19","1","1219","Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
"10743","AROUT","1","2015-12-18","2016-01-15","2015-12-22","2","119","Around the Horn","Brook Farm  Stratford St. Mary","Colchester","Essex","CO7 6JX","Royaume-Uni"
"10744","VAFFE","6","2015-12-18","2016-01-15","2015-12-25","1","346","Vaffeljernet","Smagsløget 45","Århus","","8200","Danemark"
"10745","QUICK","9","2015-12-19","2016-01-16","2015-12-28","1","18","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10746","CHOPS","1","2015-12-20","2016-01-17","2015-12-22","1","157","Chop-suey Chinese","Hauptstr. 31","Bern","","3012","Suisse"
"10747","PICCO","6","2015-12-20","2016-01-17","2015-12-27","1","587","Piccolo und mehr","Geislweg 14","Salzburg","","5020","Autriche"
"10748","SAVEA","3","2015-12-21","2016-01-18","2015-12-29","1","1163","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10749","ISLAT","4","2015-12-21","2016-01-18","2016-01-19","2","308","Island Trading","Garden House  Crowther Way","Cowes","Isle of Wigth","PO31 7PJ","Royaume-Uni"
"10750","WARTH","9","2015-12-22","2016-01-19","2015-12-25","1","396","Wartian Herkku","Torikatu 38","Oulu","","90110","Finlande"
"10751","RICSU","3","2015-12-25","2016-01-22","2016-01-03","1","654","Richter Supermarkt","Starenweg 5","Genève","","1204","Suisse"
"10752","NORTS","2","2015-12-25","2016-01-22","2015-12-29","1","7","North/South","South House  300 Queensbridge","London","","SW7 1RZ","Royaume-Uni"
"10753","FRANS","3","2015-12-26","2016-01-23","2015-12-28","1","38","Franchi S.p.A.","Via Monte Bianco 34","Torino","","10100","Italie"
"10754","MAGAA","6","2015-12-26","2016-01-23","2015-12-28","1","12","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","","24100","Italie"
"10755","BONAP","4","2015-12-27","2016-01-24","2015-12-29","2","84","Bon app","12, rue des Bouchers","Marseille","","13008","France"
"10756","SPLIR","8","2015-12-28","2016-01-25","2016-01-02","2","366","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","Etats-Unis"
"10757","SAVEA","6","2015-12-28","2016-01-25","2016-01-15","1","41","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10758","RICSU","3","2015-12-29","2016-01-26","2016-01-04","1","691","Richter Supermarkt","Starenweg 5","Genève","","1204","Suisse"
"10759","ANATR","3","2015-12-29","2016-01-26","2016-01-12","1","60","Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.","","5021","Mexique"
"10760","MAISD","4","2016-01-01","2016-01-29","2016-01-10","1","778","Maison Dewey","Rue Joseph-Bens 532","Bruxelles","","B-1180","Belgique"
"10761","RATTC","5","2016-01-02","2016-01-30","2016-01-08","2","93","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","Etats-Unis"
"10762","FOLKO","3","2016-01-02","2016-01-30","2016-01-09","1","1644","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Suède"
"10763","FOLIG","3","2016-01-03","2016-01-31","2016-01-08","3","187","Folies gourmandes","184, chaussée de Tournai","Lille","","59000","France"
"10764","ERNSH","6","2016-01-03","2016-01-31","2016-01-08","3","727","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10765","QUICK","3","2016-01-04","2016-02-01","2016-01-09","3","214","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10766","OTTIK","4","2016-01-05","2016-02-02","2016-01-09","1","788","Ottilies Käseladen","Mehrheimerstr. 369","Köln","","50739","Allemagne"
"10767","SUPRD","4","2016-01-05","2016-02-02","2016-01-15","3","8","Suprêmes délices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgique"
"10768","AROUT","3","2016-01-08","2016-02-05","2016-01-15","2","732","Around the Horn","Brook Farm  Stratford St. Mary","Colchester","Essex","CO7 6JX","Royaume-Uni"
"10769","VAFFE","3","2016-01-08","2016-02-05","2016-01-12","1","325","Vaffeljernet","Smagsløget 45","Århus","","8200","Danemark"
"10770","HANAR","8","2016-01-09","2016-02-06","2016-01-17","3","27","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brésil"
"10771","ERNSH","9","2016-01-10","2016-02-07","2016-02-02","2","56","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10772","LEHMS","3","2016-01-10","2016-02-07","2016-01-19","2","456","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Allemagne"
"10773","ERNSH","1","2016-01-11","2016-02-08","2016-01-16","3","482","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10774","FOLKO","4","2016-01-11","2016-01-25","2016-01-12","1","241","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Suède"
"10775","THECR","7","2016-01-12","2016-02-09","2016-01-26","1","101","The Cracker Box","55 Grizzly Peak Rd.","Butte","MT","59801","Etats-Unis"
"10776","ERNSH","1","2016-01-15","2016-02-12","2016-01-18","3","1758","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10777","GOURL","7","2016-01-15","2016-01-29","2016-02-21","2","15","Gourmet Lanchonetes","Av. Brasil, 442","Campinas","SP","04876-786","Brésil"
"10778","BERGS","3","2016-01-16","2016-02-13","2016-01-24","1","34","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Suède"
"10779","MORGK","3","2016-01-16","2016-02-13","2016-02-14","2","291","Morgenstern Gesundkost","Heerstr. 22","Leipzig","","4179","Allemagne"
"10780","LILAS","2","2016-01-16","2016-01-30","2016-01-25","1","211","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10781","WARTH","2","2016-01-17","2016-02-14","2016-01-19","3","366","Wartian Herkku","Torikatu 38","Oulu","","90110","Finlande"
"10782","CACTU","9","2016-01-17","2016-02-14","2016-01-22","3","6","Cactus Comidas para llevar","Cerrito 333","Buenos Aires","","1010","Argentine"
"10783","HANAR","4","2016-01-18","2016-02-15","2016-01-19","2","625","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brésil"
"10784","MAGAA","4","2016-01-18","2016-02-15","2016-01-22","3","350","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","","24100","Italie"
"10785","GROSR","1","2016-01-18","2016-02-15","2016-01-24","3","8","GROSELLA-Restaurante","5ª Ave. Los Palos Grandes","Caracas","DF","1081","Venezuela"
"10786","QUEEN","8","2016-01-19","2016-02-16","2016-01-23","1","554","Queen Cozinha","Alameda dos Canàrios, 891","São Paulo","SP","05487-020","Brésil"
